band,bucket,size,dominant_portal,dominant_portal_count
0,0e9ed7fa587def2f,1,P136,1
1,edeebe30a87ec91a,1,P136,1
2,1c3f6cd4f7fed401,1,P136,1
3,a53d0274fc54b944,1,P136,1
4,6202529e8dad8e6e,1,P136,1
5,8943e28f71118a76,1,P136,1
6,86ac16d10c9ab263,1,P136,1
7,99cb4f3a293cc17e,1,P136,1
8,785a432751c8ef6b,1,P136,1
9,2b25f47813fa9181,1,P136,1
10,4e392d6ced7140a7,1,P136,1
11,67405896de20bafc,1,P136,1
12,f5bb5adb0165a7c8,1,P136,1
13,c139d76a9291774e,1,P136,1
14,fe44dda65f1448f0,1,P136,1
15,43b35e6056c8da3c,1,P136,1
16,6e7d3e20083283c9,1,P136,1
17,9cfb02d06cc36b3b,1,P136,1
18,2737bbe767d293db,1,P136,1
19,2fba5195deeb5536,1,P136,1
20,5ad95266c16a67e5,1,P136,1
21,389abb05aa75890d,1,P136,1
22,47d5c79acfb3a7bb,1,P136,1
23,f5351cf616b1fd3b,1,P136,1
24,bdbca43ac5d86cf9,1,P136,1
25,5e0e1bc54329d3bd,1,P136,1
26,a3422a3a165aea41,1,P136,1
27,a4d61def751614a6,1,P136,1
28,ab78be5809965fae,1,P136,1
29,45de247a719e0615,1,P136,1
30,d468653e5641d00a,1,P136,1
31,e877f85f12f326cb,1,P136,1
32,97915625262aea72,1,P136,1
33,aed766556037a1ec,1,P136,1
34,b2caaa89495c367d,1,P136,1
35,4cb69aaa903ac458,1,P136,1
36,f0a1373b5f275765,1,P136,1
37,b613580063e61f3c,1,P136,1
38,617bb1af635aa0a2,1,P136,1
39,96374c4a7e3d9b91,1,P136,1
40,767b6bba0727449b,1,P136,1
41,5f26ae8090638bc2,1,P136,1
42,e0a48e61ad4a47f0,1,P136,1
43,7eaa2131ce044260,1,P136,1
44,e3d4fdc0f464a64a,1,P136,1
45,f6303c08d4a9504e,1,P136,1
46,66ad3b017fcdaa72,1,P136,1
