band,bucket,size,dominant_portal,dominant_portal_count
43,15a94fb93d25cb4a,310,P002,112
32,4284355f6df1e4a3,239,P004,84
33,5a0aa45f5140c3b4,163,P002,57
33,ddff0297ebce0a6e,157,P002,56
17,a53033e8c9e62e2a,125,P001,47
20,130c9fc109277921,125,P001,46
30,ac95a61fa497b38b,105,P001,43
30,cdb18518c98305e4,100,P005,37
32,42437333fac6d919,87,P006,37
11,7fffadbe945ead93,86,P001,30
32,329d0d7b40e025ba,86,P004,32
42,8c586239834c9fd1,74,P002,31
32,4814b65aeb6d82da,71,P003,36
10,ccc895f6a87a74a9,64,P005,25
43,9186742f8c3b143d,63,P002,25
11,812b870115e6a1b7,63,P001,28
1,66f02238de191e9c,61,P002,23
20,9a0ea8d3ec975946,56,P001,24
2,b605e376f87e2470,50,P001,20
32,ad3c9b58d734661c,48,P006,20
